date,retail_recreation,grocery_pharmacy,parks,transit,workplaces,residential,city
2021-08-07,13.0,16.0,15.0,-40.0,9.0,2.0,Canberra
2021-08-08,7.0,20.0,-10.0,-48.0,2.0,3.0,Canberra
2021-08-09,-2.0,18.0,-36.0,-28.0,9.0,4.0,Canberra
2021-08-10,0.0,13.0,-36.0,-32.0,10.0,4.0,Canberra
2021-08-11,0.0,15.0,-34.0,-32.0,6.0,5.0,Canberra
2021-08-12,-4.0,49.0,-36.0,-34.0,2.0,8.0,Canberra
2021-08-13,-62.0,-17.0,-44.0,-74.0,-60.0,33.0,Canberra
2021-08-14,-61.0,-21.0,-22.0,-75.0,-42.0,20.0,Canberra
2021-08-15,-59.0,-21.0,-25.0,-75.0,-37.0,17.0,Canberra
2021-08-16,-58.0,-13.0,-56.0,-75.0,-65.0,29.0,Canberra
2021-08-17,-58.0,-16.0,-47.0,-77.0,-67.0,30.0,Canberra
2021-08-18,-59.0,-15.0,-44.0,-79.0,-69.0,32.0,Canberra
2021-08-19,-59.0,-16.0,-43.0,-77.0,-68.0,31.0,Canberra
2021-08-20,-58.0,-16.0,-38.0,-78.0,-65.0,34.0,Canberra
2021-08-21,-58.0,-20.0,-23.0,-76.0,-44.0,20.0,Canberra
2021-08-22,-56.0,-22.0,-8.0,-73.0,-39.0,16.0,Canberra
2021-08-23,-58.0,-18.0,-65.0,-78.0,-66.0,30.0,Canberra
2021-08-24,-60.0,-20.0,-79.0,-82.0,-66.0,31.0,Canberra
2021-08-25,-56.0,-12.0,-54.0,-78.0,-66.0,32.0,Canberra
2021-08-26,-56.0,-11.0,-41.0,-77.0,-65.0,30.0,Canberra
2021-06-18,-3.225806451612903,9.4,-10.413793103448276,-24.09375,-10.875,5.483870967741935,Sydney
2021-06-19,-5.5,3.433333333333333,-4.137931034482759,-35.67741935483871,-7.774193548387097,4.12,Sydney
2021-06-20,-8.774193548387096,3.2666666666666666,-31.79310344827586,-42.193548387096776,-13.548387096774194,4.666666666666667,Sydney
2021-06-21,-13.709677419354838,5.466666666666667,-26.482758620689655,-34.354838709677416,-16.90625,8.935483870967742,Sydney
2021-06-22,-11.78125,6.2,-25.103448275862068,-35.3125,-18.0,9.451612903225806,Sydney
2021-06-23,-12.5625,7.1,-17.06896551724138,-36.3125,-19.375,10.387096774193548,Sydney
2021-06-24,-14.46875,9.433333333333334,-5.607142857142857,-43.1875,-27.25,14.03225806451613,Sydney
2021-06-25,-12.064516129032258,16.4,-7.482758620689655,-42.65625,-26.40625,12.96774193548387,Sydney
